id,name,category,glyph,certified,filename,raw_url
walkersville-covered-bridge,Walkersville Covered Bridge,Attraction,bridge,false,dir-walkersville-covered-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-walkersville-covered-bridge.png
almost-heaven-swing-babcock-state-park,Almost Heaven Swing - Babcock State Park,Attraction,swing,false,dir-almost-heaven-swing-babcock-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-babcock-state-park.png
almost-heaven-swing-blackwater-falls-state-park,Almost Heaven Swing - Blackwater Falls State Park,Attraction,swing,false,dir-almost-heaven-swing-blackwater-falls-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-blackwater-falls-state-park.png
almost-heaven-swing-blennerhassett-island-historical-state-park,Almost Heaven Swing - Blennerhassett Island Historical State Park,Attraction,swing,false,dir-almost-heaven-swing-blennerhassett-island-historical-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-blennerhassett-island-historical-state-park.png
almost-heaven-swing-bluestone-state-park,Almost Heaven Swing - Bluestone State Park,Attraction,swing,false,dir-almost-heaven-swing-bluestone-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-bluestone-state-park.png
almost-heaven-swing-cacapon-resort-state-park,Almost Heaven Swing - Cacapon Resort State Park,Attraction,swing,false,dir-almost-heaven-swing-cacapon-resort-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-cacapon-resort-state-park.png
almost-heaven-swing-canaan-valley-resort-state-park,Almost Heaven Swing - Canaan Valley Resort State Park,Attraction,swing,false,dir-almost-heaven-swing-canaan-valley-resort-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-canaan-valley-resort-state-park.png
almost-heaven-swing-chief-logan-state-park,Almost Heaven Swing - Chief Logan State Park,Attraction,swing,false,dir-almost-heaven-swing-chief-logan-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-chief-logan-state-park.png
almost-heaven-swing-droop-mountain-battlefield-state-park,Almost Heaven Swing - Droop Mountain Battlefield State Park,Attraction,swing,false,dir-almost-heaven-swing-droop-mountain-battlefield-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-droop-mountain-battlefield-state-park.png
almost-heaven-swing-lost-river-state-park,Almost Heaven Swing - Lost River State Park,Attraction,swing,false,dir-almost-heaven-swing-lost-river-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-lost-river-state-park.png
almost-heaven-swing-north-bend-state-park,Almost Heaven Swing - North Bend State Park,Attraction,swing,false,dir-almost-heaven-swing-north-bend-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-north-bend-state-park.png
almost-heaven-swing-pipestem-resort-state-park,Almost Heaven Swing - Pipestem Resort State Park,Attraction,swing,false,dir-almost-heaven-swing-pipestem-resort-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-pipestem-resort-state-park.png
almost-heaven-swing-stonewall-resort-state-park,Almost Heaven Swing - Stonewall Resort State Park,Attraction,swing,false,dir-almost-heaven-swing-stonewall-resort-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-stonewall-resort-state-park.png
almost-heaven-swing-summersville-lake-state-park,Almost Heaven Swing - Summersville Lake State Park,Attraction,swing,false,dir-almost-heaven-swing-summersville-lake-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-summersville-lake-state-park.png
almost-heaven-swing-tu-endie-wei-state-park,Almost Heaven Swing - Tu-Endie-Wei State Park,Attraction,swing,false,dir-almost-heaven-swing-tu-endie-wei-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-tu-endie-wei-state-park.png
almost-heaven-swing-tygart-lake-state-park,Almost Heaven Swing - Tygart Lake State Park,Attraction,swing,false,dir-almost-heaven-swing-tygart-lake-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-tygart-lake-state-park.png
almost-heaven-swing-tomlinson-run-state-park,Almost Heaven Swing - Tomlinson Run State Park,Attraction,swing,false,dir-almost-heaven-swing-tomlinson-run-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-tomlinson-run-state-park.png
almost-heaven-swing-valley-falls-state-park,Almost Heaven Swing - Valley Falls State Park,Attraction,swing,false,dir-almost-heaven-swing-valley-falls-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-almost-heaven-swing-valley-falls-state-park.png
summersville-lake-dam-overlook,Summersville Lake Dam Overlook,Attraction,overlook,false,dir-summersville-lake-dam-overlook.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-summersville-lake-dam-overlook.png
hawks-nest-state-park,Hawks Nest State Park,Attraction,overlook,false,dir-hawks-nest-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-hawks-nest-state-park.png
kanawha-falls,Kanawha Falls,Attraction,waterfall,false,dir-kanawha-falls.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-kanawha-falls.png
fayette-station-road-tunney-hunsaker-bridge,Fayette Station Road & Tunney Hunsaker Bridge,Attraction,scenic-road,false,dir-fayette-station-road-tunney-hunsaker-bridge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-fayette-station-road-tunney-hunsaker-bridge.png
coal-heritage-trail,Coal Heritage Trail,Attraction,scenic-road,false,dir-coal-heritage-trail.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-coal-heritage-trail.png
babcock-state-park,Babcock State Park,Attraction,park,false,dir-babcock-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-babcock-state-park.png
mothman-harley-davidson,Mothman Harley-Davidson,Motorcycle Dealer,moto,false,dir-mothman-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-mothman-harley-davidson.png
triple-s-harley-davidson,Triple S Harley-Davidson,Motorcycle Dealer,moto,false,dir-triple-s-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-triple-s-harley-davidson.png
rg-s-almost-heaven-harley-davidson,RG's Almost Heaven Harley-Davidson,Motorcycle Dealer,moto,false,dir-rg-s-almost-heaven-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-rg-s-almost-heaven-harley-davidson.png
skyline-lodge,Skyline Lodge,Lodging,lodging,false,dir-skyline-lodge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-skyline-lodge.png
preston-county-inn,Preston County Inn,Lodging,lodging,false,dir-preston-county-inn.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-preston-county-inn.png
cole-harley-davidson,Cole Harley-Davidson,Motorcycle Dealer,moto,false,dir-cole-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-cole-harley-davidson.png
green-bank-observatory,Green Bank Observatory,Attraction,attraction,false,dir-green-bank-observatory.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-green-bank-observatory.png
valley-harley-davidson,Valley Harley-Davidson,Motorcycle Dealer,moto,false,dir-valley-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-valley-harley-davidson.png
smoke-on-the-water-bbq,Smoke on the Water BBQ,Restaurant,food,false,dir-smoke-on-the-water-bbq.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-smoke-on-the-water-bbq.png
bear-mountain-cabins-campground,Bear Mountain Cabins & Campground,Campground,camping,false,dir-bear-mountain-cabins-campground.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-bear-mountain-cabins-campground.png
black-sheep-harley-davidson,Black Sheep Harley-Davidson,Motorcycle Dealer,moto,false,dir-black-sheep-harley-davidson.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-black-sheep-harley-davidson.png
rifrafters-campground,Rifrafters Campground,Campground,camping,false,dir-rifrafters-campground.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-rifrafters-campground.png
marlinton-motor-inn,Marlinton Motor Inn,Lodging,lodging,false,dir-marlinton-motor-inn.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-marlinton-motor-inn.png
cass-scenic-railroad-state-park,Cass Scenic Railroad State Park,Attraction,attraction,false,dir-cass-scenic-railroad-state-park.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-cass-scenic-railroad-state-park.png
hillbilly-hotdogs,Hillbilly Hotdogs,Restaurant,food,false,dir-hillbilly-hotdogs.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-hillbilly-hotdogs.png
cathedral-cafe,Cathedral Cafe,Restaurant,food,false,dir-cathedral-cafe.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-cathedral-cafe.png
fat-eddie-s,Fat Eddie's,Restaurant,food,false,dir-fat-eddie-s.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-fat-eddie-s.png
the-hutte,The Hutte,Restaurant,food,false,dir-the-hutte.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-hutte.png
the-purple-fiddle,The Purple Fiddle,Restaurant,food,false,dir-the-purple-fiddle.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-purple-fiddle.png
rosemary-s-thyme,Rosemary's Thyme,Restaurant,food,false,dir-rosemary-s-thyme.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-rosemary-s-thyme.png
the-gateway-restaurant,The Gateway Restaurant,Restaurant,food,false,dir-the-gateway-restaurant.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-gateway-restaurant.png
